Seriation_Number	Assemblage	3-4121652-2	9427460-3-2	3-3420243-2	3-3-2741486	6233813-3-2	3-3-7062874	7553633-3-2	3-3-6747473	3-4652756-2	4-4-1	3-772725-1	2401245-3-2	3-3-7119134	3-0-4	3-0-1	2-7872677-3	5979597-0-1	3-3-2	3-0-8304684	7674724-3-2	3-3-3573730	8086175-3-2	4717107-3-2	3-0-8802440	3-1462111-2	3-3-5806829	3-4628369-2	8981618-3-2
29	assemblage-55-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70299	0	0	0	0	3	0	0	0	0	0

30	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
30	assemblage-45-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2287	0	26	9	0	0	0	0	0	0	0	0	0	0
30	assemblage-50-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2316	0	0	0	0	0	0	0	0	0	0	0	0

31	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
31	assemblage-67-29	0	0	0	0	0	0	0	0	0	1016	0	0	0	15	338	574	0	378	0	0	0	0	0	0	0	0	0	0
31	assemblage-50-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2316	0	0	0	0	0	0	0	0	0	0	0	0

32	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
32	assemblage-67-29	0	0	0	0	0	0	0	0	0	1016	0	0	0	15	338	574	0	378	0	0	0	0	0	0	0	0	0	0
32	assemblage-45-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2287	0	26	9	0	0	0	0	0	0	0	0	0	0

33	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
33	assemblage-57-64	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	70269	0	0	0	0	0	0	0	0	0	0
33	assemblage-50-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2316	0	0	0	0	0	0	0	0	0	0	0	0

34	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
34	assemblage-57-64	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	70269	0	0	0	0	0	0	0	0	0	0
34	assemblage-45-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2287	0	26	9	0	0	0	0	0	0	0	0	0	0

35	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
35	assemblage-57-64	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	70269	0	0	0	0	0	0	0	0	0	0
35	assemblage-67-29	0	0	0	0	0	0	0	0	0	1016	0	0	0	15	338	574	0	378	0	0	0	0	0	0	0	0	0	0

36	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
36	assemblage-55-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70299	0	0	0	0	3	0	0	0	0	0
36	assemblage-50-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2316	0	0	0	0	0	0	0	0	0	0	0	0

37	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
37	assemblage-55-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70299	0	0	0	0	3	0	0	0	0	0
37	assemblage-45-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2287	0	26	9	0	0	0	0	0	0	0	0	0	0

38	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
38	assemblage-55-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70299	0	0	0	0	3	0	0	0	0	0
38	assemblage-67-29	0	0	0	0	0	0	0	0	0	1016	0	0	0	15	338	574	0	378	0	0	0	0	0	0	0	0	0	0

39	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
39	assemblage-55-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70299	0	0	0	0	3	0	0	0	0	0
39	assemblage-57-64	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	70269	0	0	0	0	0	0	0	0	0	0

40	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
40	assemblage-28-69	0	0	0	0	0	0	0	0	0	1833	0	0	0	0	81	2	0	406	0	0	0	0	0	0	0	0	0	0
40	assemblage-50-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2316	0	0	0	0	0	0	0	0	0	0	0	0

41	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
41	assemblage-28-69	0	0	0	0	0	0	0	0	0	1833	0	0	0	0	81	2	0	406	0	0	0	0	0	0	0	0	0	0
41	assemblage-45-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2287	0	26	9	0	0	0	0	0	0	0	0	0	0

42	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
42	assemblage-28-69	0	0	0	0	0	0	0	0	0	1833	0	0	0	0	81	2	0	406	0	0	0	0	0	0	0	0	0	0
42	assemblage-67-29	0	0	0	0	0	0	0	0	0	1016	0	0	0	15	338	574	0	378	0	0	0	0	0	0	0	0	0	0

43	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
43	assemblage-23-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71108	0	0	5	0	0	0	0	0	0	0
43	assemblage-50-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2316	0	0	0	0	0	0	0	0	0	0	0	0

44	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
44	assemblage-23-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71108	0	0	5	0	0	0	0	0	0	0
44	assemblage-45-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2287	0	26	9	0	0	0	0	0	0	0	0	0	0

45	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
45	assemblage-23-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71108	0	0	5	0	0	0	0	0	0	0
45	assemblage-67-29	0	0	0	0	0	0	0	0	0	1016	0	0	0	15	338	574	0	378	0	0	0	0	0	0	0	0	0	0

46	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
46	assemblage-23-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71108	0	0	5	0	0	0	0	0	0	0
46	assemblage-57-64	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	70269	0	0	0	0	0	0	0	0	0	0

47	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
47	assemblage-23-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71108	0	0	5	0	0	0	0	0	0	0
47	assemblage-55-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70299	0	0	0	0	3	0	0	0	0	0

48	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
48	assemblage-23-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71108	0	0	5	0	0	0	0	0	0	0
48	assemblage-28-69	0	0	0	0	0	0	0	0	0	1833	0	0	0	0	81	2	0	406	0	0	0	0	0	0	0	0	0	0

49	assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
49	assemblage-51-43	0	0	0	0	0	0	0	0	0	595	0	0	0	1	626	554	13	533	0	0	0	0	0	0	0	0	0	0
