Seriation_Number	Assemblage	881589-4513968-3	1-0-2	4315391-0-2206046	7615189-0-6811310	7615189-0-9563078	2-3-3	7615189-0-7275111	9057381-0-2	0-1-3338980	7615189-0-2092291	1-0-7158894	0-1-1	1240861-0-4	7615189-0-6819182	9314646-0-2206046	7937917-3-3	3-0-9895268	7615189-8070950-2	7615189-0-8193879	985399-0-2	3-0-1480425	2-4513968-6745780	5078583-4513968-7979611	2-4513968-3	7943172-4-0	8702025-4513968-3	2-9750565-0	3-8462156-2	5078583-4513968-3	2-4-0	2-0-2	3-0-4	3-0-2	6998671-0-2	3855138-0-2	3-315570-2206046	8574910-4-0	7615189-8459788-2092291	2-4513968-964361	5609878-0-2	1872509-0-2206046	7615189-0-2	1815904-0-2	7615189-0-4515941	5513537-0-9563078	3787830-0-2206046	3-0-2206046	5407640-3-3	7615189-0-7397176
41	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
41	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
41	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10

42	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
42	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
42	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

43	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
43	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
43	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

44	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
44	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
44	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

45	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
45	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
45	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

46	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
46	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
46	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10

47	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
47	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
47	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

48	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
48	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
48	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

49	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
49	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
49	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

50	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
50	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
50	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

51	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
51	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
51	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10

52	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
52	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7
52	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

53	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
53	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
53	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

54	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
54	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
54	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

55	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
55	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
55	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

56	assemblage-973-856	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	2	0	0	0	123	0	0	0	0	0	0	0	0	10	0	0	17	0	0	0	0	24	0	9
56	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7
56	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

57	assemblage-973-856	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	2	0	0	0	123	0	0	0	0	0	0	0	0	10	0	0	17	0	0	0	0	24	0	9
57	assemblage-685-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	81	0	0	0	0	225	0	25
57	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

58	assemblage-973-856	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	2	0	0	0	123	0	0	0	0	0	0	0	0	10	0	0	17	0	0	0	0	24	0	9
58	assemblage-685-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	81	0	0	0	0	225	0	25
58	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

59	assemblage-973-856	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	2	0	0	0	123	0	0	0	0	0	0	0	0	10	0	0	17	0	0	0	0	24	0	9
59	assemblage-685-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	81	0	0	0	0	225	0	25
59	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

60	assemblage-973-856	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	2	0	0	0	123	0	0	0	0	0	0	0	0	10	0	0	17	0	0	0	0	24	0	9
60	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
60	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

61	assemblage-973-856	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	2	0	0	0	123	0	0	0	0	0	0	0	0	10	0	0	17	0	0	0	0	24	0	9
61	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
61	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15

62	assemblage-973-856	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	2	0	0	0	123	0	0	0	0	0	0	0	0	10	0	0	17	0	0	0	0	24	0	9
62	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
62	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8

63	assemblage-1011-672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	439	0	0	0	0	17	0	0
63	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7
63	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

64	assemblage-1011-672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	439	0	0	0	0	17	0	0
64	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
64	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

65	assemblage-1011-672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	439	0	0	0	0	17	0	0
65	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
65	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

66	assemblage-1011-672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	439	0	0	0	0	17	0	0
66	assemblage-685-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	81	0	0	0	0	225	0	25
66	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

67	assemblage-1011-672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	439	0	0	0	0	17	0	0
67	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
67	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

68	assemblage-1011-672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	439	0	0	0	0	17	0	0
68	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
68	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

69	assemblage-1011-672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	439	0	0	0	0	17	0	0
69	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
69	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

70	assemblage-1011-672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	439	0	0	0	0	17	0	0
70	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
70	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

71	assemblage-1011-672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	439	0	0	0	0	17	0	0
71	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
71	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

72	assemblage-1011-672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	439	0	0	0	0	17	0	0
72	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
72	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8

73	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
73	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7
73	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

74	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
74	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11
74	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

75	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
75	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
75	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

76	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
76	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
76	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

77	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
77	assemblage-685-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	81	0	0	0	0	225	0	25
77	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

78	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
78	assemblage-685-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	81	0	0	0	0	225	0	25
78	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

79	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
79	assemblage-685-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	81	0	0	0	0	225	0	25
79	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

80	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
80	assemblage-685-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	81	0	0	0	0	225	0	25
80	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

81	assemblage-497-501	0	0	0	0	0	16	0	0	24	0	34	161	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	12
81	assemblage-685-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	81	0	0	0	0	225	0	25
81	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

