Assemblage_Name	1613298-1-3	3866316-8414082-8374781	5857700-1-5094690	1-6680052-2	2-1-5117689	1-6760579-2	1-3-9282495	5857700-502996-3	577776-1-3	8462731-3-2	5857700-1502262-3	2-1-3	5857700-2028553-128410	171276-8414082-7975816	1-1-9643939	7748833-4-4	2-1-9314448	7216708-1-7975816	9028056-7469102-4567792	5857700-1-3	7567365-1-3	3866316-1-7975816	1-4-588492	3866316-8414082-7975816	4553632-7469102-2	3866316-8414082-7766893	4798911-2028553-128410	1-1570985-4	7211393-8414082-8672426	3866316-8414082-8672426	8929119-0-2	1-3-2	5857700-1-8768088	1-6824755-2	5952504-3-2	6679100-1-3	1-4-4	3866316-4674747-7975816	1-1-7975816	5857700-1-128410	2-1-1168794	2-1-7819610	5857700-1-7156729	9028056-3-2	1-2050665-9643939	3866316-8543375-7975816	3866316-5459538-7975816	5857700-7600171-3	3-0-2	9954363-0-6630532	1-4832600-2	5857700-1-6960395	5857700-8176341-3	9028056-7469102-2	26907-8414082-7975816
assemblage-903-383	0	0	0	0	0	0	0	0	0	0	0	174	0	0	21	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	173	0	0	0	0	15	0	0	0	0	0	0	0	6	0	0	0	22	0	0	0	0	0	8
assemblage-180-460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	13
assemblage-582-656	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	366	0	0	0	37	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	7	0	0	0	0	0	21	0	0	0	0	0	0	5	0	26
assemblage-827-268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	114	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	15
assemblage-823-220	0	0	0	0	0	0	0	7	0	0	0	0	14	0	0	0	0	0	0	334	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	5	15	0	17
assemblage-359-740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	107	0	0	0	6	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	16
assemblage-326-251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	27
assemblage-187-734	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	220	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	62	8
assemblage-858-773	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	238	0	0	0	0	6	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	145	20
assemblage-293-255	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	29	0	0	0	0	0	0	0	314	16
