Assemblage_Name	3-825984-2	1-2-600017	667985-2-0	1581759-2-4160978	4779043-2-0	1-2-8508308	1-2496825-3	2-8600665-1	3-3-2	887277-2496825-3	3-7628619-2	1-2-210006	2-4-7177737	3-3-5674464	3840620-4-6094288	0-1-0	1-2-2509824	0-2142910-0	0-2980545-0	3988491-3-2	0-5801320-1	7129940-2-0	3-3-8280483	0-1-6432484	7202287-3-2	5220143-3-2	5817480-1-0	3840620-335903-1	1-9391180-0	0-6040300-0	2-9250355-4	0-1-2788888	0-2-1	807526-2-0	2197359-3-5674464	3840620-4-1	2-3092540-1	1-1880518-0	2-4-1	2-4-4	2-0-4	1-4007708-0	1-2496825-6154100	2-4-1098832	2-1940404-1	1-9977624-3	2-9501971-1	7386862-0-4	1-2-5838455	650636-4-1	1-749490-3	1-2-3	1-2-0	3906497-2-0	0-2-4380871	0-2399781-0	1-2-3323407	1-2496825-5460886	2885977-4-1	1-2-5099040	3-4575315-2	1-6649167-0	3889758-1-0	1-761108-0	3134806-2-3
assemblage-691-193	0	0	0	0	0	0	32	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	15	0	0	46	0	0	0	0	0	0	0	0	0	0	0	8	71	54	0	0	0	0	51	0	0	0	0	0	0	8
assemblage-414-448	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	132	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-426-377	0	0	0	0	0	0	3	0	60	0	0	0	0	15	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	42	0	0	28	0	17	0	0	0	0	0	0	0	0	0	0	70	113	0	0	0	0	0	0	8	0	0	0	0	20
assemblage-422-455	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	177	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-259-465	14	0	0	0	0	0	28	0	83	0	0	0	0	4	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	49	0	0	68	0	32	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-787-637	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	188	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-743-209	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	66	230	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-342-579	0	0	0	0	0	0	0	0	352	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-689-203	0	0	0	0	0	0	66	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	7	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	124	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-452-839	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	53	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	7	239	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-703-207	0	0	0	0	0	0	45	0	13	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	237	0	0	0	0	0	7	0	0	0	0	0	13
assemblage-561-473	0	0	0	0	0	0	12	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	68	147	0	0	0	0	0	0	0	105	0	0	0	6
assemblage-351-937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	53	0	0	22	0	0	37	0	0	0	0	12	0	0	0	0	0	0	0	43	235	0	0	0	0	0	0	0	0	0	0	0	4
