Assemblage_Name	2-5606452-1903427	2-4983923-407193	2-6052392-0	2-4333655-0	1-2-8218769	4-1-409385	4-1-8924159	1660766-4-9028532	3633677-3-3917728	4-1-5285094	2-6317304-1903427	2-1749306-0	6279858-1749306-0	2-2026617-0	2-4-9028532	2-6822517-897293	2-1749306-1903427	8370749-4-897293	3-3-4	0-4-0	6677368-5449902-0	3-3-4329488	525273-1749306-1903427	2-4-3903059	2-1749306-7805976	0-0-4	2-1428225-0	2-4-8834624	2745199-4-9028532	2-1749306-5375725	1-2-2	8814342-2-0	7426803-1749306-4936441	5835248-4333655-0	2-1749306-5453349	2-2-710	5745781-4-0	4180538-1749306-0	2-4-4250856	2-1749306-4936441	3-3-3917728	2-2-0	5594719-1749306-1903427	2-2220435-0	1663289-1-3	6727036-4-2649262	2-4-4983489	2-4983923-0	2-2-435004	7223194-6569101-2	4787475-4-0	4-1-3	3528593-3-4	2-2709463-0	2-7842330-4936441	6677368-4-0	2-1749306-7881191	3444713-2-0	2-1280858-0	6283759-1749306-1903427	8679530-4-0	2-7843136-4936441	2-4-0	2-4-7611949	2-4333655-6140069	3482050-7843136-4936441	2-4-897293	7700819-2-0	3-4670132-4	2-6570438-4936441	2-7136850-1903427	2-2-3446781	4-8486432-3
assemblage-370-615	0	0	12	0	0	0	0	0	0	14	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-357-616	0	0	9	35	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	7
assemblage-947-996	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-262-237	0	0	8	0	0	0	0	0	0	12	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-161-461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	10	55	0	0	0	0	0	0	0	0	10	0	157	0	0	0	0	0	0	0	0	0	23
assemblage-357-609	0	0	8	29	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	8
assemblage-357-765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	9	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	26
assemblage-651-672	0	0	0	0	0	0	21	0	0	0	0	20	0	0	0	41	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	23	0	0	0	56	0	0	0	0	0	10
assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	19	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	27
assemblage-281-929	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	352	0	0	6
