Assemblage_Name	1-4-8239243	5931536-4-4505058	1-3035471-5841443	1-5861909-1	5931536-9574900-396840	8465461-4-176003	5931536-4-2470574	1-3797357-1	1-2-4035027	4-715804-1066806	5931536-4832274-6036696	705687-4-6036696	1-2748231-5841443	1-7949899-1	1-4122071-8648397	9684592-4-6950951	1-5216555-5841443	1-9448335-1	1-4-1318509	8465461-4-6036696	1-5861909-2074651	5931536-4-9572078	0-2-3	0-2-0	1-4-1416905	1-4-5268080	5931536-4-396840	1-2-3678993	1-4-5841443	1-2748231-5519909	5931536-4-6036696	1589208-2-1	1-4-6036696	1-932782-8258013	1-2-425531	9135960-4-396840	8465461-4-2095973	9993621-4-979332	3391184-1050396-1	4-715804-0	1-1-8648397	1-8757339-5841443	722524-4-2095973	3391184-932782-1	1-6465861-1	1-932782-1	5236835-4-5841443	2491213-4-9572078	1-2-3	1-2-1	1-4-3	9135960-4-5085002	1-1783617-1	5931536-4832274-3295004	5931536-4-6950951	1-4-9795382	8241856-4-5841443	9135960-6416912-396840	9993621-4-1318509	722524-4-7840625	1024948-4-6036696	6357641-4-9572078	1-4-3784862
assemblage-964-988	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	341	0	0	0	0	0	0	0	0	0	0	117	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-157-739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	340	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-418-895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	348	0	15	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-349-945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	17	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	33	0	0	0	0	92	0	0	0	0	0	16	0	0	0	0	251	0	0	0	0	0	0	0	19
assemblage-549-299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	57	0	0	0	0	0	0	0	10
assemblage-547-488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	383	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-206-355	0	0	0	152	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	11	27	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-185-363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0	0	0	0	11	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-886-386	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-118-366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	15	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-162-980	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	54	0	116	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-200-370	0	0	0	132	5	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	19	21	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-503-578	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	88	0	0	0	0	0	0	0	0	281	0	0	23	0	0	0	0	0	0	41	0	0	0	0	0	15	19	0	5	0	0	0	0	0	0	0	14
assemblage-202-368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	69	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	19
assemblage-264-933	0	0	0	142	4	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	17	18	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-124-373	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	62	0	0	0	6	0	29	0	0	0	0	0	0	0	295	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	21	0	0	3
assemblage-144-970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	342	0	65	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-268-932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	50	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	21
assemblage-421-910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	331	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-661-663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	22	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	33	0	0	0	0	102	0	0	0	0	0	18	0	0	0	0	265	0	0	0	0	0	0	0	9
assemblage-878-367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	13	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	23	0	0	0	0	107	0	3	0	0	0	14	0	0	0	0	256	0	0	0	0	0	0	0	11
assemblage-890-368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	45	0	0	0	0	0	0	0	15
assemblage-215-380	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	78	0	0	0	0	0	0	0	0	298	0	0	22	0	0	0	0	0	0	34	0	0	0	0	0	16	18	0	0	0	0	0	0	0	0	0	19
assemblage-270-241	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	7	0	289	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	33	28	0	0	0	0	0	0	0	4
