assemblage	easting	northing
assemblage-37-3	37	3
assemblage-38-3	38	3
assemblage-39-3	39	3
assemblage-40-3	40	3
assemblage-41-3	41	3
assemblage-42-3	42	3
assemblage-43-3	43	3
assemblage-44-3	44	3
assemblage-45-3	45	3
assemblage-46-3	46	3
assemblage-47-3	47	3
assemblage-48-3	48	3
assemblage-49-3	49	3
assemblage-1-4	1	4
assemblage-2-4	2	4
assemblage-3-4	3	4
assemblage-4-4	4	4
assemblage-5-4	5	4
assemblage-6-4	6	4
assemblage-7-4	7	4
assemblage-8-4	8	4
assemblage-9-4	9	4
assemblage-10-4	10	4
assemblage-11-4	11	4
assemblage-12-4	12	4
assemblage-13-4	13	4
assemblage-14-4	14	4
assemblage-15-4	15	4
assemblage-16-4	16	4
assemblage-17-4	17	4
assemblage-18-4	18	4
assemblage-19-4	19	4
assemblage-20-4	20	4
assemblage-21-4	21	4
assemblage-22-4	22	4
assemblage-23-4	23	4
assemblage-24-4	24	4
assemblage-25-4	25	4
assemblage-26-4	26	4
assemblage-27-4	27	4
assemblage-28-4	28	4
assemblage-29-4	29	4
assemblage-30-4	30	4
assemblage-31-4	31	4
assemblage-32-4	32	4
assemblage-33-4	33	4
assemblage-34-4	34	4
assemblage-35-4	35	4
assemblage-36-4	36	4
assemblage-37-4	37	4
assemblage-38-4	38	4
assemblage-39-4	39	4
assemblage-40-4	40	4
assemblage-41-4	41	4
assemblage-42-4	42	4
assemblage-43-4	43	4
assemblage-44-4	44	4
assemblage-45-4	45	4
assemblage-46-4	46	4
assemblage-47-4	47	4
assemblage-48-4	48	4
assemblage-49-4	49	4
assemblage-1-5	1	5
assemblage-2-5	2	5
assemblage-3-5	3	5
assemblage-4-5	4	5
assemblage-5-5	5	5
assemblage-6-5	6	5
assemblage-7-5	7	5
assemblage-8-5	8	5
assemblage-9-5	9	5
assemblage-10-5	10	5
assemblage-11-5	11	5
assemblage-12-5	12	5
assemblage-13-5	13	5
assemblage-14-5	14	5
assemblage-15-5	15	5
assemblage-16-5	16	5
assemblage-17-5	17	5
assemblage-18-5	18	5
assemblage-19-5	19	5
assemblage-20-5	20	5
assemblage-21-5	21	5
assemblage-22-5	22	5
assemblage-23-5	23	5
assemblage-24-5	24	5
assemblage-25-5	25	5
assemblage-26-5	26	5
assemblage-27-5	27	5
assemblage-28-5	28	5
assemblage-29-5	29	5
assemblage-30-5	30	5
assemblage-31-5	31	5
assemblage-32-5	32	5
assemblage-33-5	33	5
assemblage-34-5	34	5
assemblage-35-5	35	5
assemblage-36-5	36	5
assemblage-37-5	37	5
assemblage-38-5	38	5
assemblage-39-5	39	5
assemblage-40-5	40	5
assemblage-41-5	41	5
assemblage-42-5	42	5
assemblage-43-5	43	5
assemblage-44-5	44	5
assemblage-45-5	45	5
assemblage-46-5	46	5
assemblage-47-5	47	5
assemblage-48-5	48	5
assemblage-49-5	49	5
assemblage-1-6	1	6
assemblage-2-6	2	6
assemblage-3-6	3	6
assemblage-4-6	4	6
assemblage-5-6	5	6
assemblage-6-6	6	6
assemblage-7-6	7	6
assemblage-8-6	8	6
assemblage-9-6	9	6
assemblage-10-6	10	6
assemblage-11-6	11	6
assemblage-12-6	12	6
assemblage-13-6	13	6
assemblage-14-6	14	6
assemblage-15-6	15	6
assemblage-16-6	16	6
assemblage-17-6	17	6
assemblage-18-6	18	6
assemblage-19-6	19	6
assemblage-20-6	20	6
assemblage-21-6	21	6
assemblage-22-6	22	6
assemblage-23-6	23	6
assemblage-24-6	24	6
assemblage-25-6	25	6
assemblage-26-6	26	6
assemblage-27-6	27	6
assemblage-28-6	28	6
assemblage-29-6	29	6
assemblage-30-6	30	6
assemblage-31-6	31	6
assemblage-32-6	32	6
assemblage-33-6	33	6
assemblage-34-6	34	6
assemblage-35-6	35	6
assemblage-36-6	36	6
assemblage-37-6	37	6
assemblage-38-6	38	6
assemblage-39-6	39	6
assemblage-40-6	40	6
assemblage-41-6	41	6
assemblage-42-6	42	6
assemblage-43-6	43	6
assemblage-44-6	44	6
assemblage-45-6	45	6
assemblage-46-6	46	6
assemblage-47-6	47	6
assemblage-48-6	48	6
assemblage-49-6	49	6
assemblage-1-7	1	7
assemblage-2-7	2	7
assemblage-3-7	3	7
assemblage-4-7	4	7
assemblage-5-7	5	7
assemblage-6-7	6	7
assemblage-7-7	7	7
assemblage-8-7	8	7
assemblage-9-7	9	7
assemblage-10-7	10	7
assemblage-11-7	11	7
assemblage-12-7	12	7
assemblage-13-7	13	7
assemblage-14-7	14	7
assemblage-15-7	15	7
assemblage-16-7	16	7
assemblage-17-7	17	7
assemblage-18-7	18	7
assemblage-19-7	19	7
assemblage-20-7	20	7
assemblage-21-7	21	7
assemblage-22-7	22	7
assemblage-23-7	23	7
assemblage-24-7	24	7
assemblage-25-7	25	7
assemblage-26-7	26	7
assemblage-27-7	27	7
assemblage-28-7	28	7
assemblage-29-7	29	7
assemblage-30-7	30	7
assemblage-31-7	31	7
assemblage-32-7	32	7
assemblage-33-7	33	7
assemblage-34-7	34	7
assemblage-35-7	35	7
assemblage-36-7	36	7
assemblage-37-7	37	7
assemblage-38-7	38	7
assemblage-39-7	39	7
assemblage-40-7	40	7
assemblage-41-7	41	7
assemblage-42-7	42	7
assemblage-43-7	43	7
assemblage-44-7	44	7
assemblage-45-7	45	7
assemblage-46-7	46	7
assemblage-47-7	47	7
assemblage-48-7	48	7
assemblage-49-7	49	7
assemblage-1-8	1	8
assemblage-2-8	2	8
assemblage-3-8	3	8
assemblage-4-8	4	8
assemblage-5-8	5	8
assemblage-6-8	6	8
assemblage-7-8	7	8
assemblage-8-8	8	8
assemblage-9-8	9	8
assemblage-10-8	10	8
assemblage-11-8	11	8
assemblage-12-8	12	8
assemblage-13-8	13	8
assemblage-14-8	14	8
assemblage-15-8	15	8
assemblage-16-8	16	8
assemblage-17-8	17	8
assemblage-18-8	18	8
assemblage-19-8	19	8
assemblage-20-8	20	8
assemblage-21-8	21	8
assemblage-22-8	22	8
assemblage-23-8	23	8
assemblage-24-8	24	8
assemblage-25-8	25	8
assemblage-26-8	26	8
assemblage-27-8	27	8
assemblage-28-8	28	8
assemblage-29-8	29	8
assemblage-30-8	30	8
assemblage-31-8	31	8
assemblage-32-8	32	8
assemblage-33-8	33	8
assemblage-34-8	34	8
assemblage-35-8	35	8
assemblage-36-8	36	8
assemblage-37-8	37	8
assemblage-38-8	38	8
assemblage-39-8	39	8
assemblage-40-8	40	8
assemblage-41-8	41	8
assemblage-42-8	42	8
assemblage-43-8	43	8
assemblage-44-8	44	8
assemblage-45-8	45	8
assemblage-46-8	46	8
assemblage-47-8	47	8
assemblage-48-8	48	8
assemblage-49-8	49	8
assemblage-1-9	1	9
assemblage-2-9	2	9
assemblage-3-9	3	9
assemblage-4-9	4	9
assemblage-5-9	5	9
assemblage-6-9	6	9
assemblage-7-9	7	9
assemblage-8-9	8	9
assemblage-9-9	9	9
assemblage-10-9	10	9
assemblage-11-9	11	9
assemblage-12-9	12	9
assemblage-13-9	13	9
assemblage-14-9	14	9
assemblage-15-9	15	9
assemblage-16-9	16	9
assemblage-17-9	17	9
assemblage-18-9	18	9
assemblage-19-9	19	9
assemblage-20-9	20	9
assemblage-21-9	21	9
assemblage-22-9	22	9
assemblage-23-9	23	9
assemblage-24-9	24	9
assemblage-25-9	25	9
assemblage-26-9	26	9
assemblage-27-9	27	9
assemblage-28-9	28	9
assemblage-29-9	29	9
assemblage-30-9	30	9
assemblage-31-9	31	9
assemblage-32-9	32	9
assemblage-33-9	33	9
assemblage-34-9	34	9
assemblage-35-9	35	9
assemblage-36-9	36	9
assemblage-37-9	37	9
assemblage-38-9	38	9
assemblage-39-9	39	9
assemblage-40-9	40	9
assemblage-41-9	41	9
assemblage-42-9	42	9
assemblage-43-9	43	9
assemblage-44-9	44	9
assemblage-45-9	45	9
assemblage-46-9	46	9
assemblage-47-9	47	9
assemblage-48-9	48	9
assemblage-49-9	49	9
assemblage-1-10	1	10
assemblage-2-10	2	10
assemblage-3-10	3	10
assemblage-4-10	4	10
assemblage-5-10	5	10
assemblage-6-10	6	10
assemblage-7-10	7	10
assemblage-8-10	8	10
assemblage-9-10	9	10
assemblage-10-10	10	10
assemblage-11-10	11	10
assemblage-12-10	12	10
assemblage-13-10	13	10
assemblage-14-10	14	10
assemblage-15-10	15	10
assemblage-16-10	16	10
assemblage-17-10	17	10
assemblage-18-10	18	10
assemblage-19-10	19	10
assemblage-20-10	20	10
assemblage-21-10	21	10
assemblage-22-10	22	10
assemblage-23-10	23	10
assemblage-24-10	24	10
assemblage-25-10	25	10
assemblage-26-10	26	10
assemblage-27-10	27	10
assemblage-28-10	28	10
assemblage-29-10	29	10
assemblage-30-10	30	10
assemblage-31-10	31	10
assemblage-32-10	32	10
assemblage-33-10	33	10
assemblage-34-10	34	10
assemblage-35-10	35	10
assemblage-36-10	36	10
assemblage-37-10	37	10
assemblage-38-10	38	10
assemblage-39-10	39	10
assemblage-40-10	40	10
assemblage-41-10	41	10
assemblage-42-10	42	10
assemblage-43-10	43	10
assemblage-44-10	44	10
assemblage-45-10	45	10
assemblage-46-10	46	10
assemblage-47-10	47	10
assemblage-48-10	48	10
assemblage-49-10	49	10
assemblage-1-11	1	11
assemblage-2-11	2	11
assemblage-3-11	3	11
assemblage-4-11	4	11
assemblage-5-11	5	11
assemblage-6-11	6	11
assemblage-7-11	7	11
assemblage-8-11	8	11
assemblage-9-11	9	11
assemblage-10-11	10	11
assemblage-11-11	11	11
assemblage-12-11	12	11
assemblage-13-11	13	11
assemblage-14-11	14	11
assemblage-15-11	15	11
assemblage-16-11	16	11
assemblage-17-11	17	11
assemblage-18-11	18	11
assemblage-19-11	19	11
assemblage-20-11	20	11
assemblage-21-11	21	11
assemblage-22-11	22	11
assemblage-23-11	23	11
assemblage-24-11	24	11
assemblage-25-11	25	11
assemblage-26-11	26	11
assemblage-27-11	27	11
assemblage-28-11	28	11
assemblage-29-11	29	11
assemblage-30-11	30	11
assemblage-31-11	31	11
assemblage-32-11	32	11
assemblage-33-11	33	11
assemblage-34-11	34	11
assemblage-35-11	35	11
assemblage-36-11	36	11
assemblage-37-11	37	11
assemblage-38-11	38	11
assemblage-39-11	39	11
assemblage-40-11	40	11
assemblage-41-11	41	11
assemblage-42-11	42	11
assemblage-43-11	43	11
assemblage-44-11	44	11
assemblage-45-11	45	11
assemblage-46-11	46	11
assemblage-47-11	47	11
assemblage-48-11	48	11
assemblage-49-11	49	11
assemblage-1-12	1	12
assemblage-2-12	2	12
assemblage-3-12	3	12
assemblage-4-12	4	12
assemblage-5-12	5	12
assemblage-6-12	6	12
assemblage-7-12	7	12
assemblage-8-12	8	12
assemblage-9-12	9	12
assemblage-10-12	10	12
assemblage-11-12	11	12
assemblage-12-12	12	12
assemblage-13-12	13	12
assemblage-14-12	14	12
assemblage-15-12	15	12
assemblage-16-12	16	12
assemblage-17-12	17	12
assemblage-18-12	18	12
assemblage-19-12	19	12
assemblage-20-12	20	12
assemblage-21-12	21	12
assemblage-22-12	22	12
assemblage-23-12	23	12
assemblage-24-12	24	12
assemblage-25-12	25	12
assemblage-26-12	26	12
assemblage-27-12	27	12
assemblage-28-12	28	12
assemblage-29-12	29	12
assemblage-30-12	30	12
assemblage-31-12	31	12
assemblage-32-12	32	12
assemblage-33-12	33	12
assemblage-34-12	34	12
assemblage-35-12	35	12
assemblage-36-12	36	12
assemblage-37-12	37	12
assemblage-38-12	38	12
assemblage-39-12	39	12
assemblage-40-12	40	12
assemblage-41-12	41	12
assemblage-42-12	42	12
assemblage-43-12	43	12
assemblage-44-12	44	12
assemblage-45-12	45	12
assemblage-46-12	46	12
assemblage-47-12	47	12
assemblage-48-12	48	12
assemblage-49-12	49	12
assemblage-1-13	1	13
assemblage-2-13	2	13
assemblage-3-13	3	13
assemblage-4-13	4	13
assemblage-5-13	5	13
assemblage-6-13	6	13
assemblage-7-13	7	13
assemblage-8-13	8	13
assemblage-9-13	9	13
assemblage-10-13	10	13
assemblage-11-13	11	13
assemblage-12-13	12	13
assemblage-13-13	13	13
assemblage-14-13	14	13
assemblage-15-13	15	13
assemblage-16-13	16	13
assemblage-17-13	17	13
assemblage-18-13	18	13
assemblage-19-13	19	13
assemblage-20-13	20	13
assemblage-21-13	21	13
assemblage-22-13	22	13
assemblage-23-13	23	13
assemblage-24-13	24	13
assemblage-25-13	25	13
assemblage-26-13	26	13
assemblage-27-13	27	13
assemblage-28-13	28	13
assemblage-29-13	29	13
assemblage-30-13	30	13
assemblage-31-13	31	13
assemblage-32-13	32	13
assemblage-33-13	33	13
assemblage-34-13	34	13
assemblage-35-13	35	13
assemblage-36-13	36	13
assemblage-37-13	37	13
assemblage-38-13	38	13
assemblage-39-13	39	13
assemblage-40-13	40	13
assemblage-41-13	41	13
assemblage-42-13	42	13
assemblage-43-13	43	13
assemblage-44-13	44	13
assemblage-45-13	45	13
assemblage-46-13	46	13
assemblage-47-13	47	13
assemblage-48-13	48	13
assemblage-49-13	49	13
assemblage-1-14	1	14
assemblage-2-14	2	14
assemblage-3-14	3	14
assemblage-4-14	4	14
assemblage-5-14	5	14
assemblage-6-14	6	14
assemblage-7-14	7	14
assemblage-8-14	8	14
assemblage-9-14	9	14
assemblage-10-14	10	14
assemblage-11-14	11	14
assemblage-12-14	12	14
assemblage-13-14	13	14
assemblage-14-14	14	14
assemblage-15-14	15	14
assemblage-16-14	16	14
assemblage-17-14	17	14
assemblage-18-14	18	14
assemblage-19-14	19	14
assemblage-20-14	20	14
assemblage-21-14	21	14
assemblage-22-14	22	14
assemblage-23-14	23	14
assemblage-24-14	24	14
assemblage-25-14	25	14
assemblage-26-14	26	14
assemblage-27-14	27	14
assemblage-28-14	28	14
assemblage-29-14	29	14
assemblage-30-14	30	14
assemblage-31-14	31	14
assemblage-32-14	32	14
assemblage-33-14	33	14
assemblage-34-14	34	14
assemblage-35-14	35	14
assemblage-36-14	36	14
assemblage-37-14	37	14
assemblage-38-14	38	14
assemblage-39-14	39	14
assemblage-40-14	40	14
assemblage-41-14	41	14
assemblage-42-14	42	14
assemblage-43-14	43	14
assemblage-44-14	44	14
assemblage-45-14	45	14
assemblage-46-14	46	14
assemblage-47-14	47	14
assemblage-48-14	48	14
assemblage-49-14	49	14
assemblage-1-15	1	15
assemblage-2-15	2	15
assemblage-3-15	3	15
assemblage-4-15	4	15
assemblage-5-15	5	15
assemblage-6-15	6	15
assemblage-7-15	7	15
assemblage-8-15	8	15
assemblage-9-15	9	15
assemblage-10-15	10	15
assemblage-11-15	11	15
assemblage-12-15	12	15
assemblage-13-15	13	15
assemblage-14-15	14	15
assemblage-15-15	15	15
assemblage-16-15	16	15
assemblage-17-15	17	15
assemblage-18-15	18	15
assemblage-19-15	19	15
assemblage-20-15	20	15
assemblage-21-15	21	15
assemblage-22-15	22	15
assemblage-23-15	23	15
assemblage-24-15	24	15
assemblage-25-15	25	15
assemblage-26-15	26	15
assemblage-27-15	27	15
assemblage-28-15	28	15
assemblage-29-15	29	15
assemblage-30-15	30	15
assemblage-31-15	31	15
assemblage-32-15	32	15
assemblage-33-15	33	15
assemblage-34-15	34	15
assemblage-35-15	35	15
assemblage-36-15	36	15
assemblage-37-15	37	15
assemblage-38-15	38	15
assemblage-39-15	39	15
assemblage-40-15	40	15
assemblage-41-15	41	15
assemblage-42-15	42	15
assemblage-43-15	43	15
assemblage-44-15	44	15
assemblage-45-15	45	15
assemblage-46-15	46	15
assemblage-47-15	47	15
assemblage-48-15	48	15
assemblage-49-15	49	15
assemblage-1-16	1	16
assemblage-2-16	2	16
assemblage-3-16	3	16
assemblage-4-16	4	16
assemblage-5-16	5	16
assemblage-6-16	6	16
assemblage-7-16	7	16
assemblage-8-16	8	16
assemblage-9-16	9	16
assemblage-10-16	10	16
assemblage-11-16	11	16
assemblage-12-16	12	16
assemblage-13-16	13	16
assemblage-14-16	14	16
assemblage-15-16	15	16
assemblage-16-16	16	16
assemblage-17-16	17	16
assemblage-18-16	18	16
assemblage-19-16	19	16
assemblage-20-16	20	16
assemblage-21-16	21	16
assemblage-22-16	22	16
assemblage-23-16	23	16
assemblage-24-16	24	16
assemblage-25-16	25	16
assemblage-26-16	26	16
assemblage-27-16	27	16
assemblage-28-16	28	16
assemblage-29-16	29	16
assemblage-30-16	30	16
assemblage-31-16	31	16
assemblage-32-16	32	16
assemblage-33-16	33	16
assemblage-34-16	34	16
assemblage-35-16	35	16
assemblage-36-16	36	16
assemblage-37-16	37	16
assemblage-38-16	38	16
assemblage-39-16	39	16
assemblage-40-16	40	16
assemblage-41-16	41	16
assemblage-42-16	42	16
assemblage-43-16	43	16
assemblage-44-16	44	16
assemblage-45-16	45	16
assemblage-46-16	46	16
assemblage-47-16	47	16
assemblage-48-16	48	16
assemblage-49-16	49	16
assemblage-1-17	1	17
assemblage-2-17	2	17
assemblage-3-17	3	17
assemblage-4-17	4	17
assemblage-5-17	5	17
assemblage-6-17	6	17
assemblage-7-17	7	17
assemblage-8-17	8	17
assemblage-9-17	9	17
assemblage-10-17	10	17
assemblage-11-17	11	17
assemblage-12-17	12	17
assemblage-13-17	13	17
assemblage-14-17	14	17
assemblage-15-17	15	17
assemblage-16-17	16	17
assemblage-17-17	17	17
assemblage-18-17	18	17
assemblage-19-17	19	17
assemblage-20-17	20	17
assemblage-21-17	21	17
assemblage-22-17	22	17
assemblage-23-17	23	17
assemblage-24-17	24	17
assemblage-25-17	25	17
assemblage-26-17	26	17
assemblage-27-17	27	17
assemblage-28-17	28	17
assemblage-29-17	29	17
assemblage-30-17	30	17
assemblage-31-17	31	17
assemblage-32-17	32	17
assemblage-33-17	33	17
assemblage-34-17	34	17
assemblage-35-17	35	17
assemblage-36-17	36	17
assemblage-37-17	37	17
assemblage-38-17	38	17
assemblage-39-17	39	17
assemblage-40-17	40	17
assemblage-41-17	41	17
assemblage-42-17	42	17
assemblage-43-17	43	17
assemblage-44-17	44	17
assemblage-45-17	45	17
assemblage-46-17	46	17
assemblage-47-17	47	17
assemblage-48-17	48	17
assemblage-49-17	49	17
assemblage-1-18	1	18
assemblage-2-18	2	18
assemblage-3-18	3	18
assemblage-4-18	4	18
assemblage-5-18	5	18
assemblage-6-18	6	18
assemblage-7-18	7	18
assemblage-8-18	8	18
assemblage-9-18	9	18
assemblage-10-18	10	18
assemblage-11-18	11	18
assemblage-12-18	12	18
assemblage-13-18	13	18
assemblage-14-18	14	18
assemblage-15-18	15	18
assemblage-16-18	16	18
assemblage-17-18	17	18
assemblage-18-18	18	18
assemblage-19-18	19	18
assemblage-20-18	20	18
assemblage-21-18	21	18
assemblage-22-18	22	18
assemblage-23-18	23	18
assemblage-24-18	24	18
assemblage-25-18	25	18
assemblage-26-18	26	18
assemblage-27-18	27	18
assemblage-28-18	28	18
assemblage-29-18	29	18
assemblage-30-18	30	18
assemblage-31-18	31	18
assemblage-32-18	32	18
assemblage-33-18	33	18
assemblage-34-18	34	18
assemblage-35-18	35	18
assemblage-36-18	36	18
assemblage-37-18	37	18
assemblage-38-18	38	18
assemblage-39-18	39	18
assemblage-40-18	40	18
assemblage-41-18	41	18
assemblage-42-18	42	18
assemblage-43-18	43	18
assemblage-44-18	44	18
assemblage-45-18	45	18
assemblage-46-18	46	18
assemblage-47-18	47	18
assemblage-48-18	48	18
assemblage-49-18	49	18
assemblage-1-19	1	19
assemblage-2-19	2	19
assemblage-3-19	3	19
assemblage-4-19	4	19
assemblage-5-19	5	19
assemblage-6-19	6	19
assemblage-7-19	7	19
assemblage-8-19	8	19
assemblage-9-19	9	19
assemblage-10-19	10	19
assemblage-11-19	11	19
assemblage-12-19	12	19
assemblage-13-19	13	19
assemblage-14-19	14	19
assemblage-15-19	15	19
assemblage-16-19	16	19
assemblage-17-19	17	19
assemblage-18-19	18	19
assemblage-19-19	19	19
assemblage-20-19	20	19
assemblage-21-19	21	19
assemblage-22-19	22	19
assemblage-23-19	23	19
assemblage-24-19	24	19
assemblage-25-19	25	19
assemblage-26-19	26	19
assemblage-27-19	27	19
assemblage-28-19	28	19
assemblage-29-19	29	19
assemblage-30-19	30	19
assemblage-31-19	31	19
assemblage-32-19	32	19
assemblage-33-19	33	19
assemblage-34-19	34	19
assemblage-35-19	35	19
assemblage-36-19	36	19
assemblage-37-19	37	19
assemblage-38-19	38	19
assemblage-39-19	39	19
assemblage-40-19	40	19
assemblage-41-19	41	19
assemblage-42-19	42	19
assemblage-43-19	43	19
assemblage-44-19	44	19
assemblage-45-19	45	19
assemblage-46-19	46	19
assemblage-47-19	47	19
assemblage-48-19	48	19
assemblage-49-19	49	19
assemblage-1-20	1	20
assemblage-2-20	2	20
assemblage-3-20	3	20
assemblage-4-20	4	20
assemblage-5-20	5	20
assemblage-6-20	6	20
assemblage-7-20	7	20
assemblage-8-20	8	20
assemblage-9-20	9	20
assemblage-10-20	10	20
assemblage-11-20	11	20
assemblage-12-20	12	20
assemblage-13-20	13	20
assemblage-14-20	14	20
assemblage-15-20	15	20
assemblage-16-20	16	20
assemblage-17-20	17	20
assemblage-18-20	18	20
assemblage-19-20	19	20
assemblage-20-20	20	20
assemblage-21-20	21	20
assemblage-22-20	22	20
assemblage-23-20	23	20
assemblage-24-20	24	20
assemblage-25-20	25	20
assemblage-26-20	26	20
assemblage-27-20	27	20
assemblage-28-20	28	20
assemblage-29-20	29	20
assemblage-30-20	30	20
assemblage-31-20	31	20
assemblage-32-20	32	20
assemblage-33-20	33	20
assemblage-34-20	34	20
assemblage-35-20	35	20
assemblage-36-20	36	20
assemblage-37-20	37	20
assemblage-38-20	38	20
assemblage-39-20	39	20
assemblage-40-20	40	20
assemblage-41-20	41	20
assemblage-42-20	42	20
assemblage-43-20	43	20
assemblage-44-20	44	20
assemblage-45-20	45	20
assemblage-46-20	46	20
assemblage-47-20	47	20
assemblage-48-20	48	20
assemblage-49-20	49	20
assemblage-1-21	1	21
assemblage-2-21	2	21
assemblage-3-21	3	21
assemblage-4-21	4	21
assemblage-5-21	5	21
assemblage-6-21	6	21
assemblage-7-21	7	21
assemblage-8-21	8	21
assemblage-9-21	9	21
assemblage-10-21	10	21
assemblage-11-21	11	21
assemblage-12-21	12	21
assemblage-13-21	13	21
assemblage-14-21	14	21
assemblage-15-21	15	21
assemblage-16-21	16	21
assemblage-17-21	17	21
assemblage-18-21	18	21
assemblage-19-21	19	21
assemblage-20-21	20	21
assemblage-21-21	21	21
assemblage-22-21	22	21
assemblage-23-21	23	21
assemblage-24-21	24	21
assemblage-25-21	25	21
assemblage-26-21	26	21
assemblage-27-21	27	21
assemblage-28-21	28	21
assemblage-29-21	29	21
assemblage-30-21	30	21
assemblage-31-21	31	21
assemblage-32-21	32	21
assemblage-33-21	33	21
assemblage-34-21	34	21
assemblage-35-21	35	21
assemblage-36-21	36	21
assemblage-37-21	37	21
assemblage-38-21	38	21
assemblage-39-21	39	21
assemblage-40-21	40	21
assemblage-41-21	41	21
assemblage-42-21	42	21
assemblage-43-21	43	21
assemblage-44-21	44	21
assemblage-45-21	45	21
assemblage-46-21	46	21
assemblage-47-21	47	21
assemblage-48-21	48	21
assemblage-49-21	49	21
assemblage-1-22	1	22
assemblage-2-22	2	22
assemblage-3-22	3	22
assemblage-4-22	4	22
assemblage-5-22	5	22
assemblage-6-22	6	22
assemblage-7-22	7	22
assemblage-8-22	8	22
assemblage-9-22	9	22
assemblage-10-22	10	22
assemblage-11-22	11	22
assemblage-12-22	12	22
assemblage-13-22	13	22
assemblage-14-22	14	22
assemblage-15-22	15	22
assemblage-16-22	16	22
assemblage-17-22	17	22
assemblage-18-22	18	22
assemblage-19-22	19	22
assemblage-20-22	20	22
assemblage-21-22	21	22
assemblage-22-22	22	22
assemblage-23-22	23	22
assemblage-24-22	24	22
assemblage-25-22	25	22
assemblage-26-22	26	22
assemblage-27-22	27	22
assemblage-28-22	28	22
assemblage-29-22	29	22
assemblage-30-22	30	22
assemblage-31-22	31	22
assemblage-32-22	32	22
assemblage-33-22	33	22
assemblage-34-22	34	22
assemblage-35-22	35	22
assemblage-36-22	36	22
assemblage-37-22	37	22
assemblage-38-22	38	22
assemblage-39-22	39	22
assemblage-40-22	40	22
assemblage-41-22	41	22
assemblage-42-22	42	22
assemblage-43-22	43	22
assemblage-44-22	44	22
assemblage-45-22	45	22
assemblage-46-22	46	22
