Assemblage_Name	2-6777787-1	2-8070814-8712965	2-8070814-707175	41478-8070814-95242	2-8070814-380174	2-8070814-8921678	3264868-8070814-1	2-671053-1	7629906-8070814-1	2-8070814-9393964	8819541-8070814-95242	2-8070814-6311409	2-3-1	2-8070814-643148	2-1078731-1	2-639179-1	3863356-8070814-95242	6001633-8070814-1	2-8804125-95242	5326121-8070814-1	2-4728419-1	2-8070814-197644	2-8070814-8158668	4757611-8070814-95242	2-8070814-4312778	2-8070814-7793975	2-9907459-1	2-4589012-1	7726117-8070814-1	2-8070814-2362307	2-4875213-95242	4463399-8070814-95242	2756046-8070814-95242	2-7264119-1	2-4455402-95242	3494858-8070814-1	4949833-8070814-95242	2-8070814-4559338	2-8070814-2170499	8379067-8070814-1	2-3284780-95242	2-8070814-5784632	2-8070814-8024079	2369952-8070814-1	2-8070814-288675	1322097-8070814-1	850766-8070814-1	2-4062908-1	962630-8070814-1	2-8070814-4705936	2460701-8070814-1	2-8070814-9978528	3346840-8070814-1	7801812-8070814-95242	2-2990549-95242	1971746-8070814-1	2-8070814-1525195	2-8070814-1	3832110-8070814-1	254395-8070814-1	8338573-8070814-1	8906965-8070814-1	2-6642078-1	2-566804-1	2-863594-1	8103788-8070814-1	2-8994683-1	2-1977651-1	8239294-8070814-95242	2-8070814-7487828	2-9805120-95242	2-5716650-95242	6632141-8070814-2362307	2-2971198-95242	2-6119120-1	915678-8070814-95242	3781819-8070814-95242	2-8070814-5017943	2-2452805-95242	1189259-8070814-95242	2-8070814-5405318	2-8436166-1	2-6028507-1	2-8070814-4286741	3717313-8070814-95242	2-8511894-1	2-8070814-4290461	2-9469875-1	2-3549823-1	2-8070814-8980770	2-1487216-1	2-8070814-7705115	2-9785016-1	2-8070814-3839696	2475052-3-8281025	2-8070814-2430363	5063668-8070814-95242	2475052-3-1	2-7541533-9393964	2-8001322-1	2-6265631-1	2-8070814-7740506	2-1602847-95242	1672583-8070814-1	2-9983095-1	2-1866974-95242	2-8070814-4595950	2-150473-9393964	2-517026-2362307	2-1374502-1	2-8736997-95242	2-6279802-1	7608824-8070814-1	2-8070814-9552740	2-4182612-95242	2-9921980-1	2-8070814-2110756	2-8070814-9576101	2-8070814-833273	2-9954598-1	2-8070814-95242	2-5536065-1	3906416-8070814-1	2-1568255-1	4941931-8070814-1	2-8070814-619716	2-8436963-95242	6162925-8070814-1	2-3064544-95242	2-8070814-7170646	2-8070814-6956031
assemblage-21-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	757	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	15	0	0	0	7441	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	11645	0	0	0	0	30	0	0	0	0	0
assemblage-21-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	8338	0	0	0	0	0	0	0	0	17	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	12331	0	0	0	0	0	0	0	0	0	0
assemblage-28-3	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	1194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	1	7453	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	38	0	0	0	0	0	11268	0	0	0	0	50	0	0	0	0	2
assemblage-25-4	1	0	0	0	0	0	0	1	0	401	0	0	1355	4	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	35575	0	0	80	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	3	0	0	353	0	0	0	76	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1216	3	0	0	0	0	0	13	0	4	0
assemblage-6-2	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1055	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	1	0	0	0	6854	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4	105	0	0	0	0	0	11986	0	0	0	0	47	0	0	0	0	0
assemblage-7-3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8129	0	0	0	0	0	0	0	0	13	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12542	0	0	0	0	0	0	0	0	0	0
assemblage-20-3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	1096	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	6938	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	53	0	0	0	0	0	11851	0	0	0	0	47	0	0	0	0	0
assemblage-20-1	0	0	0	0	0	0	0	0	0	0	0	0	1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	25	1	0	0	0	0	0	0	0	0	0	17322	0	0	77	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	259	2	0	0	0	0	0	0	1	0	0	391	0	0	0	26	0	0	48	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	0
assemblage-18-4	0	31	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	1	1033	0	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	25	0	0	0	0	2	0	0	0	15713	0	0	0	0	0	0	0	0	2	1	0	0	0	6	2	0	0	0	0	0	17	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	0	81	0	0	0	0	1	23798	0	0	0	0	44	0	0	0	0	0
assemblage-16-2	0	0	0	0	1	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15517	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14161	0	0	0	0	0	0	16	0	0	0
assemblage-19-1	3	0	0	0	0	0	0	1	0	635	0	0	1000	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	81	2	0	16	2	0	0	0	29	0	0	0	2	0	0	0	1	2	0	52527	0	0	106	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	5	0	0	0	0	0	0	286	6	0	0	0	1	0	0	0	0	0	361	1	0	1	11	1	0	68	0	1	1	0	0	4	2	0	0	0	0	1	0	0	0	14191	2	0	1	1	0	0	9	0	9	0
assemblage-4-4	0	0	0	0	0	0	0	0	0	0	0	0	948	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	12	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	16616	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1058	0	0	0	0	0	0	4	0	1	0	441	0	2	0	1	0	0	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
