Assemblage_Name	4-9338038-4	4-5354936-4	4-5924067-4	4688122-4-4	165033-4-4	4-7758363-4	4-4-5908709	4-4-1298246	4-2746916-4	4-6239123-4	4-6355536-4	4-3898344-4	1057933-4-4	4-4-3182737	4-2589589-4	5293505-4-4	4-4-4171756	4-4-8867394	4-4-1710232	4-4-7702366	4-1647985-4	4-4-7117823	4-4-2584515	4-4-4	5913164-4-4	7646977-4-4	4-4176239-4	1305822-9345372-4	4-5254100-4	7434678-4-4	4-4-4114290	6928211-4-4	4-9549516-4	4-4-6223946	4-4-7096001	7555717-4-4	5239689-4-4	4-4-5644555	9355539-4-4	4-5268299-4	2896562-4-4	4-7422500-4	3220992-4-4	4-4-7941474	4-4-3860210	4-7057978-4	4-6372725-4	5905378-4-4	3315929-53967-4	3736333-4-4	5897170-4-4	4-6808505-4	4-6443102-4	4-4-5732888	6292373-4-4	4-4-7090426	4-4-9669612	4-53967-4	3597098-4-4	4034905-4-4	4-4-2134689	4-6103624-4	1167703-4-4	4-3276210-4	4-4995232-4	4-6330919-4	4-4-7050794	3444486-4-4	4-4-6162	4-4-9607732	4-5956418-4	4-1118775-4	6928211-787982-4	4-6723607-4	4-2410401-4	4-1423641-4	4-4-2305696	4442185-4-4	4824171-4-4	4-4-3453342	4-4-7683641	8024651-4-4	1961544-4-4	9930006-4-4	3913250-4-4	9703587-4-4	4-53967-9227345	4-4-9682930	4-556333-4	4-4-8705913	4-4-6315466	4195650-4-4	4-2982886-4	4-1204956-4	4-4-4835608	4772813-4-4	4-820321-4	4-7657325-4	7087012-4-4	4-7966831-4	4-4-2917165	7876405-4-4	4-6727356-4	407320-4-4	4-4-6145998	289016-4-4	4-4-6607465	4-8444788-4	4-4-5166649	2963495-4-4	4-4-3512740	4-1247462-4	4-6554645-4	4-4-1842470	4-9824716-4	1305822-4-4	4-8355719-4	9824958-4-4	4-2589589-6389598	4-3943360-4	4-8411796-4	7736420-4-4	7423369-4-4	4-9043899-4	4-4-2858413	4-4319941-4	4-4-3661563
assemblage-30-5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	18821	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-42-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0	0	10784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
assemblage-31-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0	0	0	18272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	0	0	0	0	0	0	1594	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-40-18	0	0	0	0	0	0	0	2	0	0	0	0	0	0	428	0	0	0	0	8	12	0	0	17767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-4-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	18859	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
assemblage-3-19	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	45543	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	17	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	2	227	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0
assemblage-24-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	13	0	0	17935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-47-16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	1	84	0	0	17731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-38-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	0	0	7	40	0	0	17693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-5-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0	0	0	1	102	0	0	17619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-3-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	18889	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
