Assemblage_Name	995464-2717401-6093721	995464-0-9089477	995464-4307424-6093721	995464-0-5963027	995464-0-8792603	0-0-4798995	995464-0-7907072	995464-0-8942147	995464-5588635-6093721	0-0-1234932	9242861-0-6093721	0-0-4029330	0-0-2118677	6608895-0-6093721	0-0-1799634	995464-1356479-6093721	8097446-9599784-6093721	995464-0-3536658	995464-0-692353	3493098-0-6093721	5048091-0-6093721	995464-2395894-6093721	0-1472311-6093721	0-0-7116879	995464-0-2786469	995464-0-2042580	995464-3717282-6093721	995464-577496-6093721	0-0-6298771	9862481-0-6093721	0-1285590-0	0-4988292-6093721	0-0-1932261	995464-0-7637855	995464-1955864-6093721	6071349-0-6093721	995464-0-1060037	995464-1152775-6093721	1347032-0-6093721	0-0-8503911	995464-4820121-6093721	995464-6529198-8792603	995464-9158195-6093721	0-0-8348237	4927557-0-6093721	0-6717539-0	0-4308494-0	0-0-3270362	995464-5795715-6093721	0-5883918-6093721	995464-5227867-8792603	0-0-0	3953511-0-6093721	1139061-0-6093721	995464-0-4106003	0-1546158-0	995464-0-8338376	8545699-0-6093721	2860738-0-6093721	4475743-0-6093721	995464-0-8461097	995464-0-6894215	0-3107097-0	0-0-261382	66457-0-6093721	0-5571092-6093721	995464-7311823-6093721	9156009-0-6093721	0-7006197-6093721	0-0-840510	0-8037444-6093721	2065583-0-8792603	0-7820102-0	995464-0-7140452	0-4910411-6093721	3344538-0-0	0-0-1580852	0-270876-6093721	5661222-0-6093721	0-0-6093721	6006486-0-6093721	0-1200020-6093721	2700078-0-6093721	995464-0-6093721	995464-7650706-6093721	995464-8640875-6093721	281790-0-6093721	995464-9599784-6093721	995464-633760-6093721	995464-18252-6093721	1487912-0-0	7195948-0-6093721	995464-0-9141170	8608298-0-6093721	995464-0-1461060
assemblage-17-2	0	0	0	0	2057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	945	0	0	0	0	0	0	5	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14575	0	2	0	0	0	0	0	0	0	0	0
assemblage-48-9	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	899	0	0	0	1435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1156	0	0	0	7359	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-18	0	0	0	0	2003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	965	0	0	0	0	0	0	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14622	0	2	0	0	0	0	0	0	0	0	3
assemblage-14-2	1	0	0	0	858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	118	0	72	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	17274	4	0	0	1560	0	0	0	0	0	0	0
assemblage-30-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749	0	0	0	4669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	0	0	4605	0	0	0	8857	0	0	0	0	0	0	0	0	0	0	0
assemblage-42-15	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1008	0	0	0	1393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1062	0	0	0	7392	0	0	0	0	0	0	0	0	0	0	0
assemblage-31-11	0	0	0	0	776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	27	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17493	0	0	0	1456	0	0	0	0	1	0	0
assemblage-40-18	0	0	0	1	2067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	104	0	0	0	1050	0	0	0	0	0	0	7	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14448	0	2	0	0	0	0	0	0	0	0	0
assemblage-4-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	734	0	0	0	4796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	10	0	0	4748	2	0	0	8586	0	0	0	0	0	0	0	0	0	0	0
assemblage-3-19	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14126	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	16982	0	0	0	15114	0	0	0	0	0	0	0	0	0	0	0
assemblage-24-15	0	0	0	0	2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14726	0	1	0	0	0	0	0	0	0	0	0
