Seriation_Number	Assemblage	3-4686895-1	2-2794365-4	3-7269041-1	3-9507182-1	3-6135114-1	3-2-1958636	3-6565201-1	3-2-6035613	3-5442802-1	5230594-2-1	1208576-4-3	3-2-1	3-1443348-1	3-2-507966	3-2-7409694	1815850-2-1	3-1376620-1	0-3-2	3-8804611-1	3-9118249-1	2-2-4	3156625-2-1	1634033-2-1	3-2-9705108	3-985310-1	4-4-3	5254861-2-1	3-7247130-1	9228319-2-4
14	assemblage-34-51	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	17	0	0	3937	0	0	0	0	624	0	0	1

15	assemblage-59-24	0	0	0	0	0	0	0	0	0	0	0	1138	0	0	0	0	0	267	0	0	863	0	0	0	0	2321	0	0	0
15	assemblage-43-9	0	0	0	0	0	0	5	0	0	0	0	163713	2	0	0	0	1	0	0	22	0	0	9	0	0	0	0	6	0
15	assemblage-73-62	0	0	6	0	0	0	16	0	0	0	0	163577	11	0	0	0	0	0	0	101	0	2	25	0	0	0	0	20	0

16	assemblage-59-24	0	0	0	0	0	0	0	0	0	0	0	1138	0	0	0	0	0	267	0	0	863	0	0	0	0	2321	0	0	0
16	assemblage-63-12	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	15	0	0	3933	0	0	0	0	629	0	0	0
16	assemblage-34-51	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	17	0	0	3937	0	0	0	0	624	0	0	1

17	assemblage-59-24	0	0	0	0	0	0	0	0	0	0	0	1138	0	0	0	0	0	267	0	0	863	0	0	0	0	2321	0	0	0
17	assemblage-14-31	0	0	0	0	0	4	0	0	0	0	0	163963	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	assemblage-73-62	0	0	6	0	0	0	16	0	0	0	0	163577	11	0	0	0	0	0	0	101	0	2	25	0	0	0	0	20	0

18	assemblage-59-24	0	0	0	0	0	0	0	0	0	0	0	1138	0	0	0	0	0	267	0	0	863	0	0	0	0	2321	0	0	0
18	assemblage-14-31	0	0	0	0	0	4	0	0	0	0	0	163963	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	assemblage-43-9	0	0	0	0	0	0	5	0	0	0	0	163713	2	0	0	0	1	0	0	22	0	0	9	0	0	0	0	6	0

19	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
19	assemblage-73-62	0	0	6	0	0	0	16	0	0	0	0	163577	11	0	0	0	0	0	0	101	0	2	25	0	0	0	0	20	0
19	assemblage-27-49	0	0	0	0	0	0	0	0	0	0	0	4206	0	0	0	0	0	127	0	0	243	0	0	0	0	13	0	0	0

20	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
20	assemblage-73-62	0	0	6	0	0	0	16	0	0	0	0	163577	11	0	0	0	0	0	0	101	0	2	25	0	0	0	0	20	0
20	assemblage-34-51	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	17	0	0	3937	0	0	0	0	624	0	0	1

21	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
21	assemblage-25-47	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	4039	0	0	272	0	0	0	0	242	0	0	0
21	assemblage-34-51	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	17	0	0	3937	0	0	0	0	624	0	0	1

22	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
22	assemblage-43-9	0	0	0	0	0	0	5	0	0	0	0	163713	2	0	0	0	1	0	0	22	0	0	9	0	0	0	0	6	0
22	assemblage-27-49	0	0	0	0	0	0	0	0	0	0	0	4206	0	0	0	0	0	127	0	0	243	0	0	0	0	13	0	0	0

23	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
23	assemblage-43-9	0	0	0	0	0	0	5	0	0	0	0	163713	2	0	0	0	1	0	0	22	0	0	9	0	0	0	0	6	0
23	assemblage-34-51	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	17	0	0	3937	0	0	0	0	624	0	0	1

24	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
24	assemblage-43-9	0	0	0	0	0	0	5	0	0	0	0	163713	2	0	0	0	1	0	0	22	0	0	9	0	0	0	0	6	0
24	assemblage-73-62	0	0	6	0	0	0	16	0	0	0	0	163577	11	0	0	0	0	0	0	101	0	2	25	0	0	0	0	20	0

25	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
25	assemblage-43-9	0	0	0	0	0	0	5	0	0	0	0	163713	2	0	0	0	1	0	0	22	0	0	9	0	0	0	0	6	0
25	assemblage-25-47	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	4039	0	0	272	0	0	0	0	242	0	0	0

26	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
26	assemblage-63-12	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	15	0	0	3933	0	0	0	0	629	0	0	0
26	assemblage-34-51	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	17	0	0	3937	0	0	0	0	624	0	0	1

27	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
27	assemblage-14-31	0	0	0	0	0	4	0	0	0	0	0	163963	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	assemblage-27-49	0	0	0	0	0	0	0	0	0	0	0	4206	0	0	0	0	0	127	0	0	243	0	0	0	0	13	0	0	0

28	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
28	assemblage-14-31	0	0	0	0	0	4	0	0	0	0	0	163963	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	assemblage-34-51	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	17	0	0	3937	0	0	0	0	624	0	0	1

29	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
29	assemblage-14-31	0	0	0	0	0	4	0	0	0	0	0	163963	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	assemblage-73-62	0	0	6	0	0	0	16	0	0	0	0	163577	11	0	0	0	0	0	0	101	0	2	25	0	0	0	0	20	0

30	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
30	assemblage-14-31	0	0	0	0	0	4	0	0	0	0	0	163963	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	assemblage-25-47	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	4039	0	0	272	0	0	0	0	242	0	0	0

31	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
31	assemblage-14-31	0	0	0	0	0	4	0	0	0	0	0	163963	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	assemblage-43-9	0	0	0	0	0	0	5	0	0	0	0	163713	2	0	0	0	1	0	0	22	0	0	9	0	0	0	0	6	0

32	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
32	assemblage-14-31	0	0	0	0	0	4	0	0	0	0	0	163963	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	assemblage-63-12	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	15	0	0	3933	0	0	0	0	629	0	0	0

33	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
33	assemblage-59-24	0	0	0	0	0	0	0	0	0	0	0	1138	0	0	0	0	0	267	0	0	863	0	0	0	0	2321	0	0	0
33	assemblage-34-51	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	17	0	0	3937	0	0	0	0	624	0	0	1

34	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
34	assemblage-59-24	0	0	0	0	0	0	0	0	0	0	0	1138	0	0	0	0	0	267	0	0	863	0	0	0	0	2321	0	0	0
34	assemblage-25-47	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	4039	0	0	272	0	0	0	0	242	0	0	0

35	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	163782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
35	assemblage-59-24	0	0	0	0	0	0	0	0	0	0	0	1138	0	0	0	0	0	267	0	0	863	0	0	0	0	2321	0	0	0
35	assemblage-63-12	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	15	0	0	3933	0	0	0	0	629	0	0	0

