Seriation_Number	Assemblage	9377849-3-4	2-3-4	2-4296702-4	2-7732660-4	2-3-4081760	9384108-4-2	4152991-3-4	2-3-9201080	2-8846674-4	0-3-3	5648863-4-2	2-6003833-4	2-3-2034368	4-3-0	2-2935840-2	1-2-2155108	1-2-4	3-2-1	3-2-4	2-4-2	610163-3-4	2810163-3-0
7	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0

8	assemblage-431-636	0	7	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	57	15	402	0	0
8	assemblage-776-257	0	232	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	30	0	0
8	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

9	assemblage-170-261	0	14	0	0	0	0	0	0	0	0	0	0	0	106	0	0	30	234	0	116	0	0
9	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0
9	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

10	assemblage-170-261	0	14	0	0	0	0	0	0	0	0	0	0	0	106	0	0	30	234	0	116	0	0
10	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0
10	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

11	assemblage-170-261	0	14	0	0	0	0	0	0	0	0	0	0	0	106	0	0	30	234	0	116	0	0
11	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0
11	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0

12	assemblage-170-261	0	14	0	0	0	0	0	0	0	0	0	0	0	106	0	0	30	234	0	116	0	0
12	assemblage-446-859	0	191	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	258	0	0
12	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

13	assemblage-170-261	0	14	0	0	0	0	0	0	0	0	0	0	0	106	0	0	30	234	0	116	0	0
13	assemblage-776-257	0	232	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	30	0	0
13	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

14	assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
14	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0
14	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

15	assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
15	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0
15	assemblage-850-598	0	281	0	2	0	0	0	0	0	0	0	0	0	130	0	0	13	0	73	0	1	0

16	assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
16	assemblage-446-859	0	191	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	258	0	0
16	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

17	assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
17	assemblage-776-257	0	232	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	30	0	0
17	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

18	assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
18	assemblage-776-257	0	232	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	30	0	0
18	assemblage-850-598	0	281	0	2	0	0	0	0	0	0	0	0	0	130	0	0	13	0	73	0	1	0

19	assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
19	assemblage-170-261	0	14	0	0	0	0	0	0	0	0	0	0	0	106	0	0	30	234	0	116	0	0
19	assemblage-431-636	0	7	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	57	15	402	0	0

20	assemblage-452-848	0	453	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	46	0	0
20	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0
20	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0

21	assemblage-452-848	0	453	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	46	0	0
21	assemblage-446-859	0	191	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	258	0	0
21	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0

22	assemblage-452-848	0	453	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	46	0	0
22	assemblage-446-859	0	191	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	258	0	0
22	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0

23	assemblage-452-848	0	453	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	46	0	0
23	assemblage-170-261	0	14	0	0	0	0	0	0	0	0	0	0	0	106	0	0	30	234	0	116	0	0
23	assemblage-431-636	0	7	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	57	15	402	0	0

24	assemblage-452-848	0	453	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	46	0	0
24	assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
24	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0

25	assemblage-452-848	0	453	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	46	0	0
25	assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
25	assemblage-431-636	0	7	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	57	15	402	0	0

26	assemblage-452-848	0	453	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	46	0	0
26	assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
26	assemblage-170-261	0	14	0	0	0	0	0	0	0	0	0	0	0	106	0	0	30	234	0	116	0	0

27	assemblage-886-922	0	13	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	25	14	422	0	0
27	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0
27	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

28	assemblage-886-922	0	13	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	25	14	422	0	0
28	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0
28	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

29	assemblage-886-922	0	13	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	25	14	422	0	0
29	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0
29	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0

30	assemblage-886-922	0	13	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	25	14	422	0	0
30	assemblage-446-859	0	191	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	258	0	0
30	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

31	assemblage-886-922	0	13	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	25	14	422	0	0
31	assemblage-446-859	0	191	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	258	0	0
31	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0

32	assemblage-886-922	0	13	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	25	14	422	0	0
32	assemblage-446-859	0	191	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	258	0	0
32	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0

33	assemblage-886-922	0	13	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	25	14	422	0	0
33	assemblage-776-257	0	232	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	30	0	0
33	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

34	assemblage-886-922	0	13	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	25	14	422	0	0
34	assemblage-170-261	0	14	0	0	0	0	0	0	0	0	0	0	0	106	0	0	30	234	0	116	0	0
34	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

35	assemblage-886-922	0	13	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	25	14	422	0	0
35	assemblage-170-261	0	14	0	0	0	0	0	0	0	0	0	0	0	106	0	0	30	234	0	116	0	0
35	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0

36	assemblage-886-922	0	13	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	25	14	422	0	0
36	assemblage-170-261	0	14	0	0	0	0	0	0	0	0	0	0	0	106	0	0	30	234	0	116	0	0
36	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0

37	assemblage-886-922	0	13	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	25	14	422	0	0
37	assemblage-170-261	0	14	0	0	0	0	0	0	0	0	0	0	0	106	0	0	30	234	0	116	0	0
37	assemblage-776-257	0	232	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	30	0	0

38	assemblage-886-922	0	13	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	25	14	422	0	0
38	assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
38	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

39	assemblage-886-922	0	13	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	25	14	422	0	0
39	assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
39	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0

40	assemblage-886-922	0	13	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	25	14	422	0	0
40	assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
40	assemblage-776-257	0	232	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	30	0	0

41	assemblage-879-531	0	17	0	0	0	0	0	0	0	0	0	0	0	120	0	0	11	144	0	208	0	0
41	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0
41	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

42	assemblage-879-531	0	17	0	0	0	0	0	0	0	0	0	0	0	120	0	0	11	144	0	208	0	0
42	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0
42	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

43	assemblage-879-531	0	17	0	0	0	0	0	0	0	0	0	0	0	120	0	0	11	144	0	208	0	0
43	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0
43	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0

44	assemblage-879-531	0	17	0	0	0	0	0	0	0	0	0	0	0	120	0	0	11	144	0	208	0	0
44	assemblage-446-859	0	191	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	258	0	0
44	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

45	assemblage-879-531	0	17	0	0	0	0	0	0	0	0	0	0	0	120	0	0	11	144	0	208	0	0
45	assemblage-776-257	0	232	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	30	0	0
45	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

46	assemblage-879-531	0	17	0	0	0	0	0	0	0	0	0	0	0	120	0	0	11	144	0	208	0	0
46	assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
46	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

47	assemblage-879-531	0	17	0	0	0	0	0	0	0	0	0	0	0	120	0	0	11	144	0	208	0	0
47	assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
47	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0

48	assemblage-879-531	0	17	0	0	0	0	0	0	0	0	0	0	0	120	0	0	11	144	0	208	0	0
48	assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
48	assemblage-776-257	0	232	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	30	0	0

