Assemblage_Name	1807666-1-1	6334506-1-2	2-1-1807070	2712676-4-1	8139570-4-1	0-8184127-3	114927-4-1	9331677-3-3	3-4-1397596	0-3-9928162	614292-4-4	2-1108444-1	4-4-9553351	0-3-3519711	0-36734-3	4-8085772-1	2-7153720-2	3-5172071-4	7139811-3-3	1-3-1	9996851-1-1	4-3730190-1	1129080-1-2	2-1-2	2-1-1	4-4-6142845	3-4-3	3-4-4	2-1-2673443	4-4-5636814	2-1-806249	2-1-5138464	4-1498874-1	0-3-1780733	4-4-1	4988330-4-1	2-8336232-2	0-6687833-3	4-4-6414502	0-3-3	1-3-2364009	4-4-8013218	2-4907191-2	9129848-4-1	1179199-4-1
assemblage-499-790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	170	0	0	0	0	252	0	0	0	0	0
assemblage-454-851	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	43	0	0	4	0	0	2	0	0	0	439	0	0	0	0	11	0	0	0	0	0
assemblage-513-766	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	41	0	0	12	0	0	0	161	0	0	0	0	91	0	0	0	0	0
assemblage-880-192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	107	0	0	4	0	0	0	176	0	0	0	0	104	0	0	0	0	0
assemblage-903-542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	4	0	0	235	0	0	0	0	0	0	107	0	0	0	0	133	0	0	0	0	0
assemblage-425-620	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	181	0	0	128	0	0	0	0	0	0	146	0	0	0	0	43	0	0	0	0	0
assemblage-848-585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	13	0	0	70	0	0	0	0	0	0	132	0	0	0	0	261	0	0	0	0	0
assemblage-706-533	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	1	2	63	0	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	5
assemblage-989-560	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	4	0	0	24	0	0	0	376	0	0	0	0	4	0	0	0	0	0
assemblage-512-765	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	36	0	0	7	0	0	0	397	0	0	0	0	4	0	0	0	0	0
assemblage-527-802	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	409	0	0	0	0	33	0	0	0	0	0
assemblage-890-211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	185	0	0	0	0	0	0	92	0	0	0	0	71	0	0	0	0	0
assemblage-971-557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	223	0	0	6	0	0	0	100	0	0	0	0	7	0	0	0	0	0
assemblage-958-564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	92	0	0	8	0	0	0	211	0	0	0	0	9	0	0	0	0	0
