Assemblage_Name	0-1-3	1-7417031-3	2-6565262-2	2199527-3-3	2-5522917-2	0-1109536-3	1-3-1172501	1-4-4	0-987213-3	1-3-3	1-3-4506171	2-2-2	8339840-2-2	0-1-1197249	1-3-7206783	3-3-1	0-2-2	3387650-1-3	6751570-1-3	1-7129724-3	1-5618282-3	1-3-5304560	0-2953805-3	2528839-3-3	1-8619447-3	2410379-1-3	4987595-2-2
assemblage-880-192	202	0	0	0	0	0	0	0	0	237	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-903-542	157	0	0	0	0	0	0	0	0	269	0	24	0	0	0	42	8	0	0	0	0	0	0	0	0	0	0
assemblage-425-620	182	0	0	0	0	0	0	0	0	179	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-848-585	288	0	0	0	0	0	0	0	0	31	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
assemblage-706-533	337	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
assemblage-989-560	174	0	0	0	0	0	0	0	0	320	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-512-765	163	0	0	0	0	0	0	0	0	329	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
assemblage-527-802	278	0	0	0	0	0	0	0	0	209	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-890-211	148	0	0	0	0	0	0	0	0	246	0	104	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-971-557	31	0	0	0	0	0	0	0	0	268	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-958-564	114	0	0	0	0	0	0	0	0	175	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-445-863	66	0	0	0	5	0	0	0	0	220	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-677-345	11	0	0	0	0	0	0	167	0	321	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-170-261	169	0	0	0	0	1	0	0	0	310	0	14	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0
assemblage-497-792	256	0	0	0	0	0	0	0	0	139	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-950-563	304	0	0	0	0	0	0	0	0	169	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-692-536	225	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-685-521	326	0	0	0	0	0	0	0	0	0	0	173	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-420-624	242	0	0	0	0	0	0	0	0	228	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-676-526	245	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-508-767	60	0	0	0	0	0	1	0	0	191	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-437-632	210	0	0	0	0	0	0	0	0	220	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-664-337	3	0	0	0	0	0	0	61	0	407	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
assemblage-771-241	350	0	0	0	0	0	0	0	0	117	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-780-257	90	0	0	0	0	0	0	0	0	409	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-888-936	290	0	0	0	0	0	0	0	0	206	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-676-332	7	0	0	0	0	0	0	153	0	332	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
assemblage-954-553	219	0	0	0	0	0	0	0	0	171	2	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-190-453	33	0	0	0	0	0	0	0	0	446	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-183-441	235	0	0	0	0	0	0	0	0	186	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-830-593	202	0	0	0	0	0	0	0	0	58	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-170-271	144	0	0	0	0	1	0	0	0	271	0	38	0	0	0	27	18	0	0	0	0	1	0	0	0	0	0
assemblage-181-246	174	0	0	0	0	1	0	0	0	272	0	18	0	0	0	28	7	0	0	0	0	0	0	0	0	0	0
assemblage-782-255	225	0	0	0	0	0	0	0	0	224	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-902-178	129	0	0	0	0	0	0	0	0	268	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-492-757	319	0	0	0	0	0	0	0	0	164	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-776-257	95	0	0	0	0	0	0	0	0	403	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-771-259	283	0	0	0	0	0	0	0	0	169	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-690-342	41	0	0	0	0	0	0	95	0	334	0	22	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
assemblage-797-258	392	0	0	0	0	0	0	0	0	79	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-508-798	339	0	0	0	0	0	0	0	0	114	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-782-274	79	0	0	0	0	0	0	0	0	419	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-420-639	182	0	0	0	0	0	0	0	0	305	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-771-248	135	0	0	0	0	0	0	0	0	364	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-886-516	165	0	0	0	0	7	0	0	0	232	0	19	0	0	0	69	3	0	0	0	0	5	0	0	0	0	0
assemblage-291-763	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	101	28	0	0	0	0	0	0	0	0	0	0
assemblage-413-610	321	0	0	0	0	0	0	0	0	145	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-182-455	87	0	0	0	0	0	0	0	0	403	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-898-531	27	0	0	0	0	0	0	0	0	167	0	240	0	0	0	42	24	0	0	0	0	0	0	0	0	0	0
assemblage-195-426	283	0	0	0	0	0	0	0	0	208	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-529-794	278	0	0	0	0	0	0	0	0	141	0	73	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
assemblage-884-199	190	0	0	0	0	0	0	0	0	204	0	101	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-452-848	160	0	0	0	0	0	0	0	0	337	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-666-337	1	0	0	0	0	0	0	157	0	333	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
assemblage-849-602	245	0	0	0	0	0	0	0	0	58	0	195	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
assemblage-279-758	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	138	149	0	0	0	0	0	0	0	0	0	0
assemblage-895-535	174	0	0	0	0	0	0	0	0	252	0	47	0	0	0	9	18	0	0	0	0	0	0	0	0	0	0
assemblage-794-248	92	0	0	0	0	0	0	0	0	405	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-174-245	279	0	0	0	0	0	0	0	0	136	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-513-755	44	0	0	0	0	0	0	0	0	250	0	205	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
assemblage-899-198	181	0	0	0	0	0	0	0	0	249	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-678-345	14	0	0	0	0	0	0	70	0	405	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
assemblage-894-203	242	0	0	0	0	0	0	0	0	233	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-180-449	89	0	0	0	0	0	0	0	0	404	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-850-598	180	0	0	0	0	0	0	0	0	63	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-417-639	206	0	0	0	0	0	0	0	0	265	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-852-918	234	0	0	0	0	0	0	0	0	230	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-705-516	175	0	0	0	0	0	0	0	0	0	0	324	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-186-264	187	0	0	0	0	0	0	0	0	129	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-173-455	315	0	0	0	0	0	0	0	0	167	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-908-197	270	0	0	0	0	0	0	0	0	225	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-450-863	56	0	0	0	0	0	0	0	0	287	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-901-532	42	0	0	0	0	0	0	0	0	95	0	298	0	0	0	31	34	0	0	0	0	0	0	0	0	0	0
assemblage-867-918	126	0	0	0	0	0	0	0	0	157	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-879-531	261	0	0	0	0	11	0	0	0	162	0	44	0	0	0	21	1	0	0	0	0	0	0	0	0	0	0
assemblage-495-766	59	0	0	0	0	0	0	0	0	264	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-860-926	297	0	0	0	0	0	0	0	0	196	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-528-774	110	0	0	0	0	0	0	0	0	181	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-841-575	349	0	0	0	0	0	0	0	0	53	0	97	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
assemblage-499-767	261	0	0	0	0	0	0	0	0	180	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-173-273	13	0	0	0	0	0	0	0	0	266	0	142	0	0	0	23	56	0	0	0	0	0	0	0	0	0	0
assemblage-969-543	270	1	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-195-446	126	0	0	0	0	0	0	0	0	373	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-429-621	227	0	0	0	0	0	0	0	0	201	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-956-542	128	0	0	0	0	0	0	0	0	157	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-671-350	6	0	0	0	0	0	0	56	0	432	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
assemblage-169-239	178	0	0	0	0	0	0	0	0	107	0	214	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
assemblage-292-745	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	202	96	0	0	0	0	0	0	0	0	0	0
assemblage-864-913	316	0	0	0	0	0	0	0	0	176	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-832-592	267	0	0	0	0	0	0	0	0	21	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-443-865	166	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
assemblage-418-644	110	0	0	0	0	0	0	0	0	233	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-959-569	258	0	0	0	0	0	0	0	0	194	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-683-524	103	0	0	0	0	0	0	36	0	118	0	154	0	0	0	60	29	0	0	0	0	0	0	0	0	0	0
assemblage-526-770	190	0	0	0	0	0	0	0	0	289	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-523-789	330	0	0	0	0	0	0	0	0	135	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-534-777	25	0	0	0	0	0	0	0	0	207	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-841-587	30	0	0	0	0	0	0	0	0	162	0	212	0	0	0	53	43	0	0	0	0	0	0	0	0	0	0
assemblage-868-891	284	0	0	0	0	0	0	0	0	208	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-449-859	165	0	0	0	0	0	0	0	0	333	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-519-790	143	0	0	0	0	0	0	0	0	335	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-896-198	87	0	0	2	0	0	0	0	0	259	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-292-758	2	0	0	0	0	0	0	0	0	5	0	204	0	0	0	199	90	0	0	0	0	0	0	0	0	0	0
assemblage-982-555	295	0	0	0	0	0	0	0	0	181	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-453-873	205	0	0	0	0	0	0	0	0	293	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-431-636	216	0	0	0	0	0	0	0	0	261	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-893-534	181	0	0	0	0	16	0	0	0	241	0	42	0	0	0	19	1	0	0	0	0	0	0	0	0	0	0
assemblage-679-532	256	0	0	0	0	0	0	3	1	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-286-770	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	188	112	0	0	0	0	0	0	0	0	0	0
assemblage-908-531	66	0	0	0	0	0	0	0	0	244	0	154	0	0	0	13	23	0	0	0	0	0	0	0	0	0	0
assemblage-663-338	13	0	0	0	0	0	0	69	0	412	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
assemblage-280-773	0	0	0	0	0	0	0	5	0	0	0	249	0	0	0	103	143	0	0	0	0	0	0	0	0	0	0
assemblage-886-922	285	0	0	0	0	0	0	0	0	210	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-437-859	166	0	0	0	0	0	0	0	0	237	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-859-902	294	0	0	0	0	0	0	0	0	202	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-959-573	215	0	0	0	0	0	0	0	0	241	0	42	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-290-757	0	0	0	0	0	0	0	0	0	5	0	231	0	0	0	127	137	0	0	0	0	0	0	0	0	0	0
assemblage-838-622	171	0	0	0	0	0	0	0	0	254	0	55	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
assemblage-871-934	137	0	0	0	0	0	0	0	0	263	0	97	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-662-336	3	0	0	0	0	0	0	150	0	327	0	5	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0
assemblage-683-534	287	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-183-460	256	0	0	0	0	0	0	0	0	220	0	22	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
assemblage-417-616	128	0	0	0	0	0	0	0	0	329	0	42	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-905-202	177	0	0	0	0	0	0	0	0	210	0	112	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
assemblage-864-937	205	0	0	0	0	0	0	0	0	160	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-172-255	45	0	0	0	0	0	0	0	0	213	0	172	0	0	0	40	30	0	0	0	0	0	0	0	0	0	0
assemblage-177-255	201	0	0	0	0	0	0	0	0	126	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-679-528	225	0	0	0	0	0	0	0	0	1	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-901-502	55	0	0	0	0	0	0	0	0	212	0	145	0	0	0	62	26	0	0	0	0	0	0	0	0	0	0
