Seriation_Number	Assemblage	1-4-0	1-8734136-0	1-4-3	1-7229875-0	1-0-4	4-4-0	1-8053407-0	1-4-1794415	1738595-4-0	3266165-4-0	1-4817588-0	1-2396208-0	8787442-4-0	7157021-4-3
34	assemblage-17-4	1	0	1494	0	0	3725	0	0	0	0	0	0	0	0
34	assemblage-43-9	164136	0	0	0	0	0	0	1	0	2	0	0	1	0
34	assemblage-3-10	164364	0	0	0	0	0	6	0	0	0	0	0	0	0

35	assemblage-17-4	1	0	1494	0	0	3725	0	0	0	0	0	0	0	0
35	assemblage-43-9	164136	0	0	0	0	0	0	1	0	2	0	0	1	0
35	assemblage-40-68	163989	1	0	114	0	0	0	0	0	0	0	0	0	0

36	assemblage-17-4	1	0	1494	0	0	3725	0	0	0	0	0	0	0	0
36	assemblage-43-9	164136	0	0	0	0	0	0	1	0	2	0	0	1	0
36	assemblage-73-41	164370	0	0	0	0	0	0	0	0	0	0	0	0	0

37	assemblage-17-4	1	0	1494	0	0	3725	0	0	0	0	0	0	0	0
37	assemblage-26-45	163739	0	0	0	0	0	0	0	0	0	0	0	0	0
37	assemblage-3-10	164364	0	0	0	0	0	6	0	0	0	0	0	0	0

38	assemblage-17-4	1	0	1494	0	0	3725	0	0	0	0	0	0	0	0
38	assemblage-26-45	163739	0	0	0	0	0	0	0	0	0	0	0	0	0
38	assemblage-40-68	163989	1	0	114	0	0	0	0	0	0	0	0	0	0

39	assemblage-17-4	1	0	1494	0	0	3725	0	0	0	0	0	0	0	0
39	assemblage-26-45	163739	0	0	0	0	0	0	0	0	0	0	0	0	0
39	assemblage-43-9	164136	0	0	0	0	0	0	1	0	2	0	0	1	0

