Assemblage_Name	9246628-1-9950524	1013026-1-5990236	2-9916651-2	4021686-1-5990236	7931861-1-5990236	3492485-4504602-9496889	5645686-4504602-9496889	5476548-1-2	88147-1-5990236	1783693-1-2	2-1-2340702	8946655-1-2	9246628-1-2	2977073-4504602-9496889	3492485-6513121-9496889	2332174-1-5990236	9246628-1-9504569	2-1-247793	9246628-1523665-2	2-1-1550170	3492485-4504602-4966051	3492485-4504602-9069395	2561622-1-2	2-5909991-2	2-665824-2	4-4-9496889	1-1-2655914	2-1-640231	6099974-9916651-2	4-3-9113320	444503-1-6390283	1013026-1-2686690	466407-1-6390283	6099210-3-2	7058111-4504602-9496889	753501-4-9496889	2-4349613-2	2-9916651-9577967	3492485-2399025-9496889	2-1600295-5990236	3492485-4504602-3903795	1-1-6390283	3148074-1-6390283	2-4349613-5869159	2-994381-2	0-3-0	5954475-1-2	9825775-1-2	3492485-4504602-8298826	2-9916651-3433239	5178882-4349613-2	5540663-1-5990236	5844984-1-5990236	7508553-1-6390283	2-8315753-5990236	5083681-1-2	2-1-2	2-1-3	4-9025775-4	9235611-4-9496889	3-4-3	5527302-1-5990236	2-1444959-2	2-1-5990236	2-8366408-2	8116117-1-6390283	6495287-3-0	3492485-9186678-9496889	2-9801755-2	4-3-2	2-1-8432786	3492485-4-9496889	1-3136783-6390283	6864055-1-2	2-1-8643054	2-5134205-2	1174073-1-2
assemblage-653-962	0	0	0	0	0	19	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	9	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	5	25	0	0	0	0	0	0	0	310	0	0	0	0	0	0	3	12	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-311-427	6	0	286	0	0	8	0	0	0	0	0	0	81	0	0	0	29	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-426-694	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-604-126	0	0	0	0	9	161	0	0	0	0	0	3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	167	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-783-921	0	0	292	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	38	0	0	0	0	0	0	0	0	68	5	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	12
assemblage-293-730	0	78	0	65	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	14	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-431-667	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-292-700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-726-971	0	0	3	0	0	24	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	180	25	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-294-696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	49	0	0	0	0	19	0	332	0	0	0	0	0	0	7	0	0	0	0	0	9
assemblage-399-81	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-694-487	0	0	17	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10
assemblage-379-112	0	50	0	64	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	23	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-832-326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-597-123	0	0	5	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-907-636	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-907-621	0	0	0	0	0	12	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-439-709	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-546-416	0	0	0	0	0	97	0	14	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-695-482	0	0	16	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8
assemblage-648-341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-994-194	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	434	0	0	0	0	0	0	0	0	0	0	0	0	11
