Assemblage_Name	6278862-0-4	1-1-1	3-5437308-1	4122708-6092088-1	3137862-0-4	1-0-4	4122708-7696843-9020058	4122708-9524480-1	7994592-7057881-4798394	4122708-8858550-9020058	4122708-368458-1	4122708-7057881-8728393	4122708-5054630-1	4122708-533743-4183744	8291512-5796611-5909726	3-0-885661	4122708-4111701-1	4451947-7057881-9020058	3156360-0-1	0-7182328-3	5901222-8746381-1	7994592-7057881-9020058	0-1-3	8593696-7057881-7668173	5901222-7057881-1	4122708-4512747-1	6877217-0-1	4979587-7057881-1	1-1419806-4	7994592-5945578-9020058	1-1-6445342	3-7056631-1	2-2-4	3-4646215-1	4122708-2548673-1	4122708-9173726-3597671	5901222-8819837-1	9982968-7057881-1	3-1-1	3-1-4	3100670-7057881-1	4122708-6764257-1	240441-0-4	4122708-7057881-7668173	4122708-7057881-9318974	4122708-7057881-7880574	4122708-9173726-1	4122708-2229869-9020058	8223918-7057881-9020058	1-0-7788596	0-5796611-3	4122708-7057881-1	4122708-7057881-9020058	2071973-0-4	2936605-5796611-3	0-5796611-6495450	3-0-1	4122708-7057881-4183744	4122708-8447117-1	4122708-8378225-1	1326126-7057881-1	1326126-6150652-1	6688220-7057881-9020058	4122708-3410732-1	9438794-7057881-1	3-3-4	4122708-5387930-1	0-5796611-5909726	9704867-7057881-9020058	1017114-5796611-5909726	4122708-9173726-505969	4122708-9173726-3063168
assemblage-439-709	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	19	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-546-416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	241	112	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-695-482	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-648-341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	17	15	0	0	0	0	0	0	0	0	0	0	121	0	0	0	17
assemblage-994-194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	76	0	0	0	0	6	17	0	0	0	0	0	0	0	118	6	0	0	0	0	0	0	0	0	0	13
assemblage-657-318	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-421-689	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0	0	0	0	22	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	5	1
assemblage-716-481	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-980-599	0	0	0	0	0	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-990-203	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	330	10	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-612-122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	17	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7
assemblage-311-717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	9	0	0	322	0	0	0	0	96	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-643-323	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	8	0	10
assemblage-836-798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	7	0	0	346	0	0	0	0	86	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-985-197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	87	0	0	0	0	2	19	0	0	0	0	0	0	0	140	7	0	0	0	0	0	0	0	0	0	8
assemblage-659-328	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	6	0	15
assemblage-652-952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	9	0	0	0	0	0	0	0	132	5	0	0	0	0	0	0	0	0	0	13
assemblage-162-852	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	31	0	0	0	30
assemblage-996-614	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-843-799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	17	0	0	0	0	44	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	17
assemblage-322-394	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-731-788	0	0	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	9
assemblage-655-777	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	178	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-660-329	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	13	0	0	0	23
assemblage-701-469	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	375	59	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	13
assemblage-846-341	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	11	0	0	4	402	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	14	0	0	15
assemblage-367-825	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	358	68	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	18
assemblage-663-782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	255	89	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-694-460	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
